order_id,customer_name,suburban,address,city,latitude,longitude,size,order_created_time,service_minutes,priority
ORD-001,New World Churton Park,Churton Park,69 Lakewood Avenue,Wellington,-41.2027271,174.8084690,8,2026-07-22T14:30:00+12:00,5,2
ORD-002,Woolworths Johnsonville,Johnsonville,71 Johnsonville Road,Wellington,-41.2239906,174.8082493,10,2026-07-23T06:45:00+12:00,7,1
ORD-003,New World Karori,Karori,236 Karori Road,Wellington,-41.2840839,174.7379712,12,2026-07-23T07:05:00+12:00,5,3
ORD-004,Wētā Workshop Experiences,Miramar,1 Weka Street,Wellington,-41.3058992,174.8237945,9,2026-07-22T16:10:00+12:00,6,2
ORD-005,PAK'nSAVE Kilbirnie,Kilbirnie,78 Rongotai Road,Wellington,-41.3183504,174.7964823,14,2026-07-23T07:20:00+12:00,8,1
ORD-006,New World Island Bay,Island Bay,6 Medway Street,Wellington,-41.3346805,174.7728419,11,2026-07-23T07:35:00+12:00,5,4
ORD-007,Museum of New Zealand Te Papa Tongarewa,Te Aro,55 Cable Street,Wellington,-41.2903326,174.7819275,7,2026-07-22T11:00:00+12:00,7,2
ORD-008,Ministry of Health,Thorndon,133 Molesworth Street,Wellington,-41.2729749,174.7777291,8,2026-07-23T07:50:00+12:00,8,1
ORD-009,Archives New Zealand,Thorndon,10 Mulgrave Street,Wellington,-41.2771321,174.7800441,6,2026-07-23T06:55:00+12:00,4,3
ORD-010,Wellington City Council Head Office,Wellington Central,113 The Terrace,Wellington,-41.2831236,174.7749322,10,2026-07-21T15:00:00+12:00,10,5
